,date,count
140,2019-06-01,45
141,2019-06-02,28
142,2019-06-03,67
143,2019-06-04,162
144,2019-06-05,88
145,2019-06-06,94
146,2019-06-07,220
147,2019-06-08,80
148,2019-06-09,92
149,2019-06-10,108
150,2019-06-11,141
151,2019-06-12,133
152,2019-06-13,58
153,2019-06-14,78
154,2019-06-15,45
155,2019-06-16,53
156,2019-06-17,76
157,2019-06-18,104
158,2019-06-19,53
159,2019-06-20,75
160,2019-06-21,48
161,2019-06-22,66
162,2019-06-23,89
163,2019-06-24,131
164,2019-06-25,82
165,2019-06-26,168
166,2019-06-27,109
167,2019-06-28,511
168,2019-06-29,280
169,2019-06-30,404
170,2019-07-01,55
171,2019-07-02,32
172,2019-07-03,70
173,2019-07-04,48
174,2019-07-05,50
175,2019-07-06,50
176,2019-07-07,29
177,2019-07-08,53
178,2019-07-09,54
179,2019-07-10,64
180,2019-07-11,71
181,2019-07-12,132
182,2019-07-13,80
183,2019-07-14,68
184,2019-07-15,73
185,2019-07-16,179
186,2019-07-17,98
187,2019-07-18,249
188,2019-07-19,112
189,2019-07-20,96
190,2019-07-21,98
191,2019-07-22,81
192,2019-07-23,107
193,2019-07-24,75
194,2019-07-25,134
195,2019-07-26,145
196,2019-07-27,118
197,2019-07-28,114
198,2019-07-29,208
199,2019-07-30,693
200,2019-07-31,686
201,2019-08-01,805
202,2019-08-02,375
203,2019-08-03,339
204,2019-08-04,205
205,2019-08-05,207
206,2019-08-06,497
207,2019-08-07,132
208,2019-08-08,655
209,2019-08-09,582
210,2019-08-10,448
211,2019-08-11,166
212,2019-08-12,177
213,2019-08-13,292
214,2019-08-14,128
215,2019-08-15,223
216,2019-08-16,239
217,2019-08-17,239
218,2019-08-18,391
219,2019-08-19,244
220,2019-08-20,497
221,2019-08-21,720
222,2019-08-22,247
223,2019-08-23,299
224,2019-08-24,531
225,2019-08-25,418
226,2019-08-26,268
227,2019-08-27,646
228,2019-08-28,452
229,2019-08-29,740
230,2019-08-30,675
231,2019-08-31,1037
232,2019-09-01,159
233,2019-09-02,172
234,2019-09-03,725
235,2019-09-04,504
236,2019-09-05,282
237,2019-09-06,508
238,2019-09-07,389
239,2019-09-08,386
240,2019-09-09,449
241,2019-09-10,954
242,2019-09-11,328
243,2019-09-12,1698
244,2019-09-13,1485
245,2019-09-14,432
246,2019-09-15,564
247,2019-09-16,646
248,2019-09-17,703
249,2019-09-18,548
250,2019-09-19,890
251,2019-09-20,807
252,2019-09-21,458
253,2019-09-22,448
254,2019-09-23,604
255,2019-09-24,971
256,2019-09-25,1408
257,2019-09-26,873
258,2019-09-27,1140
259,2019-09-28,1029
260,2019-09-29,2096
261,2019-09-30,4397
